Druivensoort,Zuur,Body / vol,Suiker / zoet,Citrusfruit,Appel,Tropisch fruit,Steenfruit,Meloen,Peer,Noten,Rood fruit,Bloemen,Honing,Kruiden
Naam,2.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,5.0,4.0,5.0,2.0
Frank,2.0,3.0,3.5,2.0,4.0,3.5,2.5,4.0,3.5,4.0,3.5,3.0,4.0,3.5
